Index,Current URL,Title,Doc ID
89,https://ssc.wisc.edu/sscc/pubs/DWE/book/3-2-relationships-between-two-continuous-variables.html,3.2 Relationships between two continuous variables | Data Wrangling Essentials,
90,https://ssc.wisc.edu/sscc/pubs/DWE/book/3-3-sect-ggplot-categorical.html,3.3 Relationships between continuous and categorical variables | Data Wrangling Essentials,
91,https://ssc.wisc.edu/sscc/pubs/DWE/book/3-4-sect-ggplot-multiple-var.html,3.4 Relationships between more than two variables | Data Wrangling Essentials,
92,https://ssc.wisc.edu/sscc/pubs/DWE/book/3-visual-exploration-of-data.html,3 Visual Exploration of data | Data Wrangling Essentials,
93,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-1-preparatory-exercises-1.html,4.1 Preparatory exercises | Data Wrangling Essentials,
94,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-2-naming-variables.html,4.2 Naming variables | Data Wrangling Essentials,
95,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-3-copying-data-sets.html,4.3 Copying data sets | Data Wrangling Essentials,
96,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-4-dropping-unneeded-variables.html,4.4 Dropping unneeded variables | Data Wrangling Essentials,
97,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-5-sec-drop-obs.html,4.5 Dropping unneeded observations | Data Wrangling Essentials,
98,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-6-subsets-of-a-data-frame.html,4.6 Subsets of a data frame | Data Wrangling Essentials,
99,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-7-coding-missing-values.html,4.7 Coding missing values | Data Wrangling Essentials,
100,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-8-coding-missing-values-part-2.html,4.8 Coding missing values - part 2 | Data Wrangling Essentials,
101,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-9-duplicate-observations.html,4.9 Duplicate observations | Data Wrangling Essentials,
102,https://ssc.wisc.edu/sscc/pubs/DWE/book/4-cleaning.html,4 Cleaning | Data Wrangling Essentials,
103,https://ssc.wisc.edu/sscc/pubs/DWE/book/5-1-preparatory-exercises-2.html,5.1 Preparatory exercises | Data Wrangling Essentials,
104,https://ssc.wisc.edu/sscc/pubs/DWE/book/5-2-character-variables.html,5.2 Character variables | Data Wrangling Essentials,
105,https://ssc.wisc.edu/sscc/pubs/DWE/book/5-3-numeric-variables.html,5.3 Numeric variables | Data Wrangling Essentials,
106,https://ssc.wisc.edu/sscc/pubs/DWE/book/5-4-factors-and-indicators.html,5.4 Factors and Indicators | Data Wrangling Essentials,
107,https://ssc.wisc.edu/sscc/pubs/DWE/book/5-5-date-and-time-variables.html,5.5 Date and time variables | Data Wrangling Essentials,
