url,title
https://ssc.wisc.edu/sscc/pubs/4-17.htm,Using Stat/Transfer
https://ssc.wisc.edu/sscc/pubs/4-18.htm,An Introduction to SAS Data Steps
https://ssc.wisc.edu/sscc/pubs/4-19.htm,Storing SAS Formats
https://ssc.wisc.edu/sscc/pubs/4-20.htm,Saving SAS Graphs For Printing or Other Uses
https://ssc.wisc.edu/sscc/pubs/4-21.htm,A Simple Procedure for Producing Publication-Quality Graphs using SAS
https://ssc.wisc.edu/sscc/pubs/4-22.htm,Making Predictions with Counter-Factual Data in Stata
https://ssc.wisc.edu/sscc/pubs/4-23.htm,Using Stata Graphs in Documents 
https://ssc.wisc.edu/sscc/pubs/4-24.htm,An Introduction to Stata Graphics
https://ssc.wisc.edu/sscc/pubs/4-25.htm,Including Calculated Results In Stata Graphs 
https://ssc.wisc.edu/sscc/pubs/4-26.htm,An Introduction to Mata 
https://ssc.wisc.edu/sscc/pubs/4-27.htm,Bootstrapping in Stata 
https://ssc.wisc.edu/sscc/pubs/4-28.htm, Using Reshape to Manage Hierarchical Data
https://ssc.wisc.edu/sscc/pubs/4-8.htm,Redirecting and Customizing Tabular Output in SAS
https://ssc.wisc.edu/sscc/pubs/5-12.htm,Keeping Your PC Secure
https://ssc.wisc.edu/sscc/pubs/5-13.htm,Writing a CD Using Ahead Nero
https://ssc.wisc.edu/sscc/pubs/5-15.htm,Printing on Special Paper
https://ssc.wisc.edu/sscc/pubs/5-17.htm,Creating Web Pages Using Dreamweaver
https://ssc.wisc.edu/sscc/pubs/5-2.htm,Connecting to SSCC Linux Computers using X-Win32
https://ssc.wisc.edu/sscc/pubs/5-22.htm,Cleaning Out Your Email
https://ssc.wisc.edu/sscc/pubs/5-24.htm,Setting Up Network Printers in Windows
https://ssc.wisc.edu/sscc/pubs/5-26.htm,Mapping a Drive to a Network Share in Windows
https://ssc.wisc.edu/sscc/pubs/5-29.htm,Formatting Your Dissertation in Word
https://ssc.wisc.edu/sscc/pubs/5-31.htm,Removing Hidden Data from Documents 
https://ssc.wisc.edu/sscc/pubs/5-35.htm,Transferring Files Using SecureFX
https://ssc.wisc.edu/sscc/pubs/7-1.htm,An Introduction to Condor
https://ssc.wisc.edu/sscc/pubs/7-10.htm,Using Emacs
https://ssc.wisc.edu/sscc/pubs/7-12.htm,Using Stata on Linux
https://ssc.wisc.edu/sscc/pubs/7-20.htm,Limiting Access to a Web Page
https://ssc.wisc.edu/sscc/pubs/7-23.htm,Forwarding Your Email to Another Address
https://ssc.wisc.edu/sscc/pubs/7-27.htm,Running OpenOffice on Linux
https://ssc.wisc.edu/sscc/pubs/7-28.htm,Printing from Linux
https://ssc.wisc.edu/sscc/pubs/7-4.htm,Running SAS on Linux
https://ssc.wisc.edu/sscc/pubs/7-8.htm,Using Compressed Data in Linux
https://ssc.wisc.edu/sscc/pubs/DWE/book/0-1-organization-of-the-book-and-chapters.html,0.1 Organization of the book and chapters | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/0-2-who-will-benefit-from-this-book.html,0.2 Who will benefit from this book | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/0-3-materials-for-this-book.html,0.3 Materials for this book | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/1-1-programming-basics.html,1.1 Programming basics | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/1-2-functions-packges-and-getting-help.html,"1.2 Functions, Packges, and Getting help | Data Wrangling Essentials"
https://ssc.wisc.edu/sscc/pubs/DWE/book/1-programming.html,1 Programming | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/2-1-data-frames-1.html,2.1 Data frames | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/2-2-prgm-read-csv.html,2.2 Reading csv files and other delimited data | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/2-3-prgm-read-csv-advnc.html,2.3 More challenging csv and delimited files | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/2-data-frames.html,2 Data frames | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/3-1-preparatory-exercises.html,3.1 Preparatory exercises | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/3-2-relationships-between-two-continuous-variables.html,3.2 Relationships between two continuous variables | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/3-3-sect-ggplot-categorical.html,3.3 Relationships between continuous and categorical variables | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/3-4-sect-ggplot-multiple-var.html,3.4 Relationships between more than two variables | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/3-visual-exploration-of-data.html,3 Visual Exploration of data | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-1-preparatory-exercises-1.html,4.1 Preparatory exercises | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-2-naming-variables.html,4.2 Naming variables | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-3-copying-data-sets.html,4.3 Copying data sets | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-4-dropping-unneeded-variables.html,4.4 Dropping unneeded variables | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-5-sec-drop-obs.html,4.5 Dropping unneeded observations | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-6-subsets-of-a-data-frame.html,4.6 Subsets of a data frame | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-7-coding-missing-values.html,4.7 Coding missing values | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-8-coding-missing-values-part-2.html,4.8 Coding missing values - part 2 | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-9-duplicate-observations.html,4.9 Duplicate observations | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/4-cleaning.html,4 Cleaning | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/5-1-preparatory-exercises-2.html,5.1 Preparatory exercises | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/5-2-character-variables.html,5.2 Character variables | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/5-3-numeric-variables.html,5.3 Numeric variables | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/5-4-factors-and-indicators.html,5.4 Factors and Indicators | Data Wrangling Essentials
https://ssc.wisc.edu/sscc/pubs/DWE/book/5-5-date-and-time-variables.html,5.5 Date and time variables | Data Wrangling Essentials
