,url
31,https://ssc.wisc.edu/sscc/pubs/DWE/book/preface.html
32,https://ssc.wisc.edu/sscc/pubs/DWE/datasets.zip
33,https://ssc.wisc.edu/sscc/pubs/DWE/dw_py.zip
34,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_Python/preface.html
35,https://ssc.wisc.edu/sscc/pubs/DWE/solutions_R/
36,https://ssc.wisc.edu/sscc/pubs/GitBrief/GitBriefIntro.html
37,https://ssc.wisc.edu/sscc/pubs/MM/MM_DiagInfer.html
38,https://ssc.wisc.edu/sscc/pubs/MM/MM_Introduction.html
39,https://ssc.wisc.edu/sscc/pubs/MM/MM_Introduction.html
40,https://ssc.wisc.edu/sscc/pubs/MM/MM_Models.html
41,https://ssc.wisc.edu/sscc/pubs/MM/MM_MultRand.html
42,https://ssc.wisc.edu/sscc/pubs/MM/MM_TestEffects.html
43,https://ssc.wisc.edu/sscc/pubs/RBrief/R_BriefIntro.html
44,https://ssc.wisc.edu/sscc/pubs/RBrief/R_BriefIntro.html
45,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataExpl.html
46,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataPrep.html
47,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_DataPres.html
48,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_Diagnostics.html
49,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_Introduction.html
50,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_Introduction.html
51,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_Projects.html
52,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_RMarkdown.html
53,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_RScript.html
54,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_RegInference.html
55,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_Regression.html
56,https://ssc.wisc.edu/sscc/pubs/RFR/RFR_RegressionGLM.html
57,https://ssc.wisc.edu/sscc/pubs/R_intro/book/preface.html
58,https://ssc.wisc.edu/sscc/pubs/RegressionDiagnostics.html
59,https://ssc.wisc.edu/sscc/pubs/RegressionDiagnostics.html
60,https://ssc.wisc.edu/sscc/pubs/bigsas.htm
61,https://ssc.wisc.edu/sscc/pubs/computing_resources.htm
62,https://ssc.wisc.edu/sscc/pubs/convert_sas_formats.htm
63,https://ssc.wisc.edu/sscc/pubs/data_entry_excel.htm
64,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata1.htm
65,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata1.htm
66,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata2.htm
67,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata3.htm
68,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata4.htm
69,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata5.htm
70,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata6.htm
71,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata7.htm
72,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata8.htm
73,https://ssc.wisc.edu/sscc/pubs/dws/data_wrangling_stata9.htm
74,https://ssc.wisc.edu/sscc/pubs/intro_stata/intro_stata1.htm
75,https://ssc.wisc.edu/sscc/pubs/intro_stata/intro_stata1.htm
76,https://ssc.wisc.edu/sscc/pubs/intro_stata/intro_stata2.htm
77,https://ssc.wisc.edu/sscc/pubs/intro_stata/intro_stata3.htm
78,https://ssc.wisc.edu/sscc/pubs/intro_stata/intro_stata4.htm
79,https://ssc.wisc.edu/sscc/pubs/intro_stata/intro_stata5.htm
80,https://ssc.wisc.edu/sscc/pubs/intro_stata/intro_stata6.htm
81,https://ssc.wisc.edu/sscc/pubs/linstat.htm
82,https://ssc.wisc.edu/sscc/pubs/linstat_jobs.htm
83,https://ssc.wisc.edu/sscc/pubs/mplus_linstat.htm
84,https://ssc.wisc.edu/sscc/pubs/nvivo.htm
85,https://ssc.wisc.edu/sscc/pubs/python_linstat.htm
86,https://ssc.wisc.edu/sscc/pubs/python_packages_winstat.htm
87,https://ssc.wisc.edu/sscc/pubs/r-install.htm
88,https://ssc.wisc.edu/sscc/pubs/r-install.htm
89,https://ssc.wisc.edu/sscc/pubs/r-packages.htm
